[2020-10-17 23:25:24] my_logger.INFO: Not Allowed (404): GET /quote-post/ IP 157.55.39.12 Analytics 5f8bc3b445d32 [] []
[2020-10-18 02:21:16] my_logger.INFO: Not Allowed (404): GET /pages/galleries/galleries-01/ IP 157.55.39.127 Analytics 5f8becec1145b [] []
[2020-10-18 04:22:40] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.0.woff IP 207.46.13.188 Analytics 5f8c09600dd96 [] []
[2020-10-18 04:22:50] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.0.ttf IP 207.46.13.67 Analytics 5f8c096aa39c0 [] []
[2020-10-18 04:22:50] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.9.woff IP 207.46.13.67 Analytics 5f8c096abd593 [] []
[2020-10-18 04:23:28] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.10.2.woff IP 207.46.13.101 Analytics 5f8c0990656c9 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.1.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.0.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.3.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.9.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.10.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.5.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.7.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.1.1.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.13.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.4.0.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.3.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.2.0.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.4.1.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.5.0.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.6.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.11.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.6.1.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.7.1.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:52] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.6.3.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
